 Total Nb of available Diagnostics: ndiagt=   854
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   263 |Tp_gTr02| 65 |       |SMR     MR|uMN/s           |NO3 total transport tendency (before gchem_forcing_sep)
   264 |ADVrTr02| 65 |       |WM      LR|uMN.m^3/s       |Vertical   Advective Flux of NO3
   265 |ADVxTr02| 65 |   266 |UU      MR|uMN.m^3/s       |Zonal      Advective Flux of NO3
   266 |ADVyTr02| 65 |   265 |VV      MR|uMN.m^3/s       |Meridional Advective Flux of NO3
   267 |DFrETr02| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NO3 (Explicit part)
   268 |DFxETr02| 65 |   269 |UU      MR|uMN.m^3/s       |Zonal      Diffusive Flux of NO3
   269 |DFyETr02| 65 |   268 |VV      MR|uMN.m^3/s       |Meridional Diffusive Flux of NO3
   270 |DFrITr02| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NO3 (Implicit part)
   271 |KPPgTr02| 65 |       |WM      LR|uMN.m^3/s       |KPP non-local Flux of NO3
   272 |DSLPTr02| 65 |       |SMR     MR|uMN/s           |NO3 tendency from Down-Slope package
   273 |TRAC03  | 65 |       |SMR     MR|uM N            |NO2 concentration
   274 |UTRAC03 | 65 |   275 |UUr     MR|uMN.m/s         |Zonal Mass-Weighted Transp of NO2
   275 |VTRAC03 | 65 |   274 |VVr     MR|uMN.m/s         |Merid Mass-Weighted Transp of NO2
   276 |WTRAC03 | 65 |       |WM      MR|uMN.m/s         |Vert  Mass-Weighted Transp of NO2
   277 |ForcTr03| 65 |       |SMR     MR|uMN/s           |NO2 forcing tendency
   278 |AB_gTr03| 65 |       |SMR     MR|uMN/s           |NO2 tendency from Adams-Bashforth
   279 |Tp_gTr03| 65 |       |SMR     MR|uMN/s           |NO2 total transport tendency (before gchem_forcing_sep)
   280 |ADVrTr03| 65 |       |WM      LR|uMN.m^3/s       |Vertical   Advective Flux of NO2
   281 |ADVxTr03| 65 |   282 |UU      MR|uMN.m^3/s       |Zonal      Advective Flux of NO2
   282 |ADVyTr03| 65 |   281 |VV      MR|uMN.m^3/s       |Meridional Advective Flux of NO2
   283 |DFrETr03| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NO2 (Explicit part)
   284 |DFxETr03| 65 |   285 |UU      MR|uMN.m^3/s       |Zonal      Diffusive Flux of NO2
   285 |DFyETr03| 65 |   284 |VV      MR|uMN.m^3/s       |Meridional Diffusive Flux of NO2
   286 |DFrITr03| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NO2 (Implicit part)
   287 |KPPgTr03| 65 |       |WM      LR|uMN.m^3/s       |KPP non-local Flux of NO2
   288 |DSLPTr03| 65 |       |SMR     MR|uMN/s           |NO2 tendency from Down-Slope package
   289 |TRAC04  | 65 |       |SMR     MR|uM N            |NH4 concentration
   290 |UTRAC04 | 65 |   291 |UUr     MR|uMN.m/s         |Zonal Mass-Weighted Transp of NH4
   291 |VTRAC04 | 65 |   290 |VVr     MR|uMN.m/s         |Merid Mass-Weighted Transp of NH4
   292 |WTRAC04 | 65 |       |WM      MR|uMN.m/s         |Vert  Mass-Weighted Transp of NH4
   293 |ForcTr04| 65 |       |SMR     MR|uMN/s           |NH4 forcing tendency
   294 |AB_gTr04| 65 |       |SMR     MR|uMN/s           |NH4 tendency from Adams-Bashforth
   295 |Tp_gTr04| 65 |       |SMR     MR|uMN/s           |NH4 total transport tendency (before gchem_forcing_sep)
   296 |ADVrTr04| 65 |       |WM      LR|uMN.m^3/s       |Vertical   Advective Flux of NH4
   297 |ADVxTr04| 65 |   298 |UU      MR|uMN.m^3/s       |Zonal      Advective Flux of NH4
   298 |ADVyTr04| 65 |   297 |VV      MR|uMN.m^3/s       |Meridional Advective Flux of NH4
   299 |DFrETr04| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NH4 (Explicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |DFxETr04| 65 |   301 |UU      MR|uMN.m^3/s       |Zonal      Diffusive Flux of NH4
   301 |DFyETr04| 65 |   300 |VV      MR|uMN.m^3/s       |Meridional Diffusive Flux of NH4
   302 |DFrITr04| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of NH4 (Implicit part)
   303 |KPPgTr04| 65 |       |WM      LR|uMN.m^3/s       |KPP non-local Flux of NH4
   304 |DSLPTr04| 65 |       |SMR     MR|uMN/s           |NH4 tendency from Down-Slope package
   305 |TRAC05  | 65 |       |SMR     MR|uM P            |PO4 concentration
   306 |UTRAC05 | 65 |   307 |UUr     MR|uMP.m/s         |Zonal Mass-Weighted Transp of PO4
   307 |VTRAC05 | 65 |   306 |VVr     MR|uMP.m/s         |Merid Mass-Weighted Transp of PO4
   308 |WTRAC05 | 65 |       |WM      MR|uMP.m/s         |Vert  Mass-Weighted Transp of PO4
   309 |ForcTr05| 65 |       |SMR     MR|uMP/s           |PO4 forcing tendency
   310 |AB_gTr05| 65 |       |SMR     MR|uMP/s           |PO4 tendency from Adams-Bashforth
   311 |Tp_gTr05| 65 |       |SMR     MR|uMP/s           |PO4 total transport tendency (before gchem_forcing_sep)
   312 |ADVrTr05| 65 |       |WM      LR|uMP.m^3/s       |Vertical   Advective Flux of PO4
   313 |ADVxTr05| 65 |   314 |UU      MR|uMP.m^3/s       |Zonal      Advective Flux of PO4
   314 |ADVyTr05| 65 |   313 |VV      MR|uMP.m^3/s       |Meridional Advective Flux of PO4
   315 |DFrETr05| 65 |       |WM      LR|uMP.m^3/s       |Vertical Diffusive Flux of PO4 (Explicit part)
   316 |DFxETr05| 65 |   317 |UU      MR|uMP.m^3/s       |Zonal      Diffusive Flux of PO4
   317 |DFyETr05| 65 |   316 |VV      MR|uMP.m^3/s       |Meridional Diffusive Flux of PO4
   318 |DFrITr05| 65 |       |WM      LR|uMP.m^3/s       |Vertical Diffusive Flux of PO4 (Implicit part)
   319 |KPPgTr05| 65 |       |WM      LR|uMP.m^3/s       |KPP non-local Flux of PO4
   320 |DSLPTr05| 65 |       |SMR     MR|uMP/s           |PO4 tendency from Down-Slope package
   321 |TRAC06  | 65 |       |SMR     MR|uM Fe           |FeT concentration
   322 |UTRAC06 | 65 |   323 |UUr     MR|uMFe.m/s        |Zonal Mass-Weighted Transp of FeT
   323 |VTRAC06 | 65 |   322 |VVr     MR|uMFe.m/s        |Merid Mass-Weighted Transp of FeT
   324 |WTRAC06 | 65 |       |WM      MR|uMFe.m/s        |Vert  Mass-Weighted Transp of FeT
   325 |ForcTr06| 65 |       |SMR     MR|uMFe/s          |FeT forcing tendency
   326 |AB_gTr06| 65 |       |SMR     MR|uMFe/s          |FeT tendency from Adams-Bashforth
   327 |Tp_gTr06| 65 |       |SMR     MR|uMFe/s          |FeT total transport tendency (before gchem_forcing_sep)
   328 |ADVrTr06| 65 |       |WM      LR|uMFe.m^3/s      |Vertical   Advective Flux of FeT
   329 |ADVxTr06| 65 |   330 |UU      MR|uMFe.m^3/s      |Zonal      Advective Flux of FeT
   330 |ADVyTr06| 65 |   329 |VV      MR|uMFe.m^3/s      |Meridional Advective Flux of FeT
   331 |DFrETr06| 65 |       |WM      LR|uMFe.m^3/s      |Vertical Diffusive Flux of FeT (Explicit part)
   332 |DFxETr06| 65 |   333 |UU      MR|uMFe.m^3/s      |Zonal      Diffusive Flux of FeT
   333 |DFyETr06| 65 |   332 |VV      MR|uMFe.m^3/s      |Meridional Diffusive Flux of FeT
   334 |DFrITr06| 65 |       |WM      LR|uMFe.m^3/s      |Vertical Diffusive Flux of FeT (Implicit part)
   335 |KPPgTr06| 65 |       |WM      LR|uMFe.m^3/s      |KPP non-local Flux of FeT
   336 |DSLPTr06| 65 |       |SMR     MR|uMFe/s          |FeT tendency from Down-Slope package
   337 |TRAC07  | 65 |       |SMR     MR|uM Si           |SiO2 concentration
   338 |UTRAC07 | 65 |   339 |UUr     MR|uMSi.m/s        |Zonal Mass-Weighted Transp of SiO2
   339 |VTRAC07 | 65 |   338 |VVr     MR|uMSi.m/s        |Merid Mass-Weighted Transp of SiO2
   340 |WTRAC07 | 65 |       |WM      MR|uMSi.m/s        |Vert  Mass-Weighted Transp of SiO2
   341 |ForcTr07| 65 |       |SMR     MR|uMSi/s          |SiO2 forcing tendency
   342 |AB_gTr07| 65 |       |SMR     MR|uMSi/s          |SiO2 tendency from Adams-Bashforth
   343 |Tp_gTr07| 65 |       |SMR     MR|uMSi/s          |SiO2 total transport tendency (before gchem_forcing_sep)
   344 |ADVrTr07| 65 |       |WM      LR|uMSi.m^3/s      |Vertical   Advective Flux of SiO2
   345 |ADVxTr07| 65 |   346 |UU      MR|uMSi.m^3/s      |Zonal      Advective Flux of SiO2
   346 |ADVyTr07| 65 |   345 |VV      MR|uMSi.m^3/s      |Meridional Advective Flux of SiO2
   347 |DFrETr07| 65 |       |WM      LR|uMSi.m^3/s      |Vertical Diffusive Flux of SiO2 (Explicit part)
   348 |DFxETr07| 65 |   349 |UU      MR|uMSi.m^3/s      |Zonal      Diffusive Flux of SiO2
   349 |DFyETr07| 65 |   348 |VV      MR|uMSi.m^3/s      |Meridional Diffusive Flux of SiO2
   350 |DFrITr07| 65 |       |WM      LR|uMSi.m^3/s      |Vertical Diffusive Flux of SiO2 (Implicit part)
   351 |KPPgTr07| 65 |       |WM      LR|uMSi.m^3/s      |KPP non-local Flux of SiO2
   352 |DSLPTr07| 65 |       |SMR     MR|uMSi/s          |SiO2 tendency from Down-Slope package
   353 |TRAC08  | 65 |       |SMR     MR|uM C            |DOC concentration
   354 |UTRAC08 | 65 |   355 |UUr     MR|uMC.m/s         |Zonal Mass-Weighted Transp of DOC
   355 |VTRAC08 | 65 |   354 |VVr     MR|uMC.m/s         |Merid Mass-Weighted Transp of DOC
   356 |WTRAC08 | 65 |       |WM      MR|uMC.m/s         |Vert  Mass-Weighted Transp of DOC
   357 |ForcTr08| 65 |       |SMR     MR|uMC/s           |DOC forcing tendency
   358 |AB_gTr08| 65 |       |SMR     MR|uMC/s           |DOC tendency from Adams-Bashforth
   359 |Tp_gTr08| 65 |       |SMR     MR|uMC/s           |DOC total transport tendency (before gchem_forcing_sep)
   360 |ADVrTr08| 65 |       |WM      LR|uMC.m^3/s       |Vertical   Advective Flux of DOC
   361 |ADVxTr08| 65 |   362 |UU      MR|uMC.m^3/s       |Zonal      Advective Flux of DOC
   362 |ADVyTr08| 65 |   361 |VV      MR|uMC.m^3/s       |Meridional Advective Flux of DOC
   363 |DFrETr08| 65 |       |WM      LR|uMC.m^3/s       |Vertical Diffusive Flux of DOC (Explicit part)
   364 |DFxETr08| 65 |   365 |UU      MR|uMC.m^3/s       |Zonal      Diffusive Flux of DOC
   365 |DFyETr08| 65 |   364 |VV      MR|uMC.m^3/s       |Meridional Diffusive Flux of DOC
   366 |DFrITr08| 65 |       |WM      LR|uMC.m^3/s       |Vertical Diffusive Flux of DOC (Implicit part)
   367 |KPPgTr08| 65 |       |WM      LR|uMC.m^3/s       |KPP non-local Flux of DOC
   368 |DSLPTr08| 65 |       |SMR     MR|uMC/s           |DOC tendency from Down-Slope package
   369 |TRAC09  | 65 |       |SMR     MR|uM N            |DON concentration
   370 |UTRAC09 | 65 |   371 |UUr     MR|uMN.m/s         |Zonal Mass-Weighted Transp of DON
   371 |VTRAC09 | 65 |   370 |VVr     MR|uMN.m/s         |Merid Mass-Weighted Transp of DON
   372 |WTRAC09 | 65 |       |WM      MR|uMN.m/s         |Vert  Mass-Weighted Transp of DON
   373 |ForcTr09| 65 |       |SMR     MR|uMN/s           |DON forcing tendency
   374 |AB_gTr09| 65 |       |SMR     MR|uMN/s           |DON tendency from Adams-Bashforth
   375 |Tp_gTr09| 65 |       |SMR     MR|uMN/s           |DON total transport tendency (before gchem_forcing_sep)
   376 |ADVrTr09| 65 |       |WM      LR|uMN.m^3/s       |Vertical   Advective Flux of DON
   377 |ADVxTr09| 65 |   378 |UU      MR|uMN.m^3/s       |Zonal      Advective Flux of DON
   378 |ADVyTr09| 65 |   377 |VV      MR|uMN.m^3/s       |Meridional Advective Flux of DON
   379 |DFrETr09| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of DON (Explicit part)
   380 |DFxETr09| 65 |   381 |UU      MR|uMN.m^3/s       |Zonal      Diffusive Flux of DON
   381 |DFyETr09| 65 |   380 |VV      MR|uMN.m^3/s       |Meridional Diffusive Flux of DON
   382 |DFrITr09| 65 |       |WM      LR|uMN.m^3/s       |Vertical Diffusive Flux of DON (Implicit part)
   383 |KPPgTr09| 65 |       |WM      LR|uMN.m^3/s       |KPP non-local Flux of DON
   384 |DSLPTr09| 65 |       |SMR     MR|uMN/s           |DON tendency from Down-Slope package
   385 |TRAC10  | 65 |       |SMR     MR|uM P            |DOP concentration
   386 |UTRAC10 | 65 |   387 |UUr     MR|uMP.m/s         |Zonal Mass-Weighted Transp of DOP
   387 |VTRAC10 | 65 |   386 |VVr     MR|uMP.m/s         |Merid Mass-Weighted Transp of DOP
   388 |WTRAC10 | 65 |       |WM      MR|uMP.m/s         |Vert  Mass-Weighted Transp of DOP
   389 |ForcTr10| 65 |       |SMR     MR|uMP/s           |DOP forcing tendency
   390 |AB_gTr10| 65 |       |SMR     MR|uMP/s           |DOP tendency from Adams-Bashforth
   391 |Tp_gTr10| 65 |       |SMR     MR|uMP/s           |DOP total transport tendency (before gchem_forcing_sep)
   392 |ADVrTr10| 65 |       |WM      LR|uMP.m^3/s       |Vertical   Advective Flux of DOP
   393 |ADVxTr10| 65 |   394 |UU      MR|uMP.m^3/s       |Zonal      Advective Flux of DOP
   394 |ADVyTr10| 65 |   393 |VV      MR|uMP.m^3/s       |Meridional Advective Flux of DOP
   395 |DFrETr10| 65 |       |WM      LR|uMP.m^3/s       |Vertical Diffusive Flux of DOP (Explicit part)
   396 |DFxETr10| 65 |   397 |UU      MR|uMP.m^3/s       |Zonal      Diffusive Flux of DOP
   397 |DFyETr10| 65 |   396 |VV      MR|uMP.m^3/s       |Meridional Diffusive Flux of DOP
   398 |DFrITr10| 65 |       |WM      LR|uMP.m^3/s       |Vertical Diffusive Flux of DOP (Implicit part)
   399 |KPPgTr10| 65 |       |WM      LR|uMP.m^3/s       |KPP non-local Flux of DOP
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |DSLPTr10| 65 |       |SMR     MR|uMP/s           |DOP tendency from Down-Slope package
   401 |TRAC11  | 65 |       |SMR     MR|uM Fe           |DOFe concentration
   402 |UTRAC11 | 65 |   403 |UUr     MR|uMFe.m/s        |Zonal Mass-Weighted Transp of DOFe
   403 |VTRAC11 | 65 |   402 |VVr     MR|uMFe.m/s        |Merid Mass-Weighted Transp of DOFe
   404 |WTRAC11 | 65 |       |WM      MR|uMFe.m/s        |Vert  Mass-Weighted Transp of DOFe
   405 |ForcTr11| 65 |       |SMR     MR|uMFe/s          |DOFe forcing tendency
